,FIPS,hh_income,house_value,State,County,Tract_ID
1,36005000200,70867.0,457300.0,NEW YORK,Bronx County,000200
2,36005000400,98090.0,456100.0,NEW YORK,Bronx County,000400
3,36005001600,40033.0,587600.0,NEW YORK,Bronx County,001600
4,36005001901,55924.0,759977.6464903357,NEW YORK,Bronx County,001901
5,36005001902,60804.0,425600.0,NEW YORK,Bronx County,001902
8,36005002001,20870.0,759977.6464903357,NEW YORK,Bronx County,002001
9,36005002002,78730.62887067396,441800.0,NEW YORK,Bronx County,002002
10,36005002300,22177.0,759977.6464903357,NEW YORK,Bronx County,002300
12,36005002500,25954.0,1024000.0,NEW YORK,Bronx County,002500
13,36005002701,18686.0,759977.6464903357,NEW YORK,Bronx County,002701
14,36005002702,14681.0,759977.6464903357,NEW YORK,Bronx County,002702
15,36005002800,54321.0,311400.0,NEW YORK,Bronx County,002800
16,36005003100,34276.0,233800.0,NEW YORK,Bronx County,003100
17,36005003300,20129.0,625000.0,NEW YORK,Bronx County,003300
18,36005003500,30793.0,579200.0,NEW YORK,Bronx County,003500
19,36005003700,37321.0,759977.6464903357,NEW YORK,Bronx County,003700
20,36005003800,83295.0,640200.0,NEW YORK,Bronx County,003800
21,36005003900,20049.0,759977.6464903357,NEW YORK,Bronx County,003900
22,36005004001,64087.0,511100.0,NEW YORK,Bronx County,004001
23,36005004100,20551.0,662000.0,NEW YORK,Bronx County,004100
24,36005004200,57250.0,341000.0,NEW YORK,Bronx County,004200
25,36005004300,25534.0,613500.0,NEW YORK,Bronx County,004300
26,36005004400,15750.0,596400.0,NEW YORK,Bronx County,004400
27,36005004600,29145.0,759977.6464903357,NEW YORK,Bronx County,004600
28,36005004800,33500.0,759977.6464903357,NEW YORK,Bronx County,004800
29,36005005001,28353.0,503500.0,NEW YORK,Bronx County,005001
30,36005005002,34013.0,533200.0,NEW YORK,Bronx County,005002
31,36005005100,19731.0,759977.6464903357,NEW YORK,Bronx County,005100
32,36005005200,21397.0,609700.0,NEW YORK,Bronx County,005200
33,36005005300,20449.0,759977.6464903357,NEW YORK,Bronx County,005300
34,36005005400,45625.0,486700.0,NEW YORK,Bronx County,005400
35,36005005600,40341.0,583000.0,NEW YORK,Bronx County,005600
36,36005005902,44917.0,260800.0,NEW YORK,Bronx County,005902
37,36005006000,34239.0,500000.0,NEW YORK,Bronx County,006000
38,36005006100,60685.0,25400.0,NEW YORK,Bronx County,006100
39,36005006200,24769.0,759977.6464903357,NEW YORK,Bronx County,006200
40,36005006301,50273.0,324600.0,NEW YORK,Bronx County,006301
42,36005006400,35144.0,454400.0,NEW YORK,Bronx County,006400
43,36005006500,21962.0,759977.6464903357,NEW YORK,Bronx County,006500
44,36005006700,15957.0,759977.6464903357,NEW YORK,Bronx County,006700
45,36005006800,38125.0,645700.0,NEW YORK,Bronx County,006800
46,36005006900,32887.0,210900.0,NEW YORK,Bronx County,006900
47,36005007000,53014.0,535600.0,NEW YORK,Bronx County,007000
48,36005007100,43079.0,271500.0,NEW YORK,Bronx County,007100
49,36005007200,54097.0,629000.0,NEW YORK,Bronx County,007200
50,36005007300,25619.0,759977.6464903357,NEW YORK,Bronx County,007300
51,36005007400,37352.0,481500.0,NEW YORK,Bronx County,007400
52,36005007500,30413.0,271600.0,NEW YORK,Bronx County,007500
53,36005007600,51625.0,618200.0,NEW YORK,Bronx County,007600
54,36005007700,48333.0,374600.0,NEW YORK,Bronx County,007700
55,36005007800,54615.0,475400.0,NEW YORK,Bronx County,007800
56,36005007900,22534.0,759977.6464903357,NEW YORK,Bronx County,007900
57,36005008300,42386.0,457900.0,NEW YORK,Bronx County,008300
58,36005008400,66373.0,584000.0,NEW YORK,Bronx County,008400
59,36005008500,33065.0,359700.0,NEW YORK,Bronx County,008500
60,36005008600,25608.0,616600.0,NEW YORK,Bronx County,008600
61,36005008700,30357.0,759977.6464903357,NEW YORK,Bronx County,008700
62,36005008900,29599.0,759977.6464903357,NEW YORK,Bronx County,008900
63,36005009000,30953.0,433200.0,NEW YORK,Bronx County,009000
64,36005009200,54924.0,596400.0,NEW YORK,Bronx County,009200
65,36005009301,39606.0,419800.0,NEW YORK,Bronx County,009301
67,36005009600,49638.0,476600.0,NEW YORK,Bronx County,009600
68,36005009800,73622.0,466400.0,NEW YORK,Bronx County,009800
70,36005011502,23791.0,437700.0,NEW YORK,Bronx County,011502
71,36005011701,37781.0,9999.0,NEW YORK,Bronx County,011701
73,36005011800,101875.0,450400.0,NEW YORK,Bronx County,011800
74,36005011900,32007.0,438100.0,NEW YORK,Bronx County,011900
75,36005012101,48152.0,413200.0,NEW YORK,Bronx County,012101
76,36005012102,27281.0,759977.6464903357,NEW YORK,Bronx County,012102
77,36005012300,39258.0,777600.0,NEW YORK,Bronx County,012300
78,36005012500,45966.0,530600.0,NEW YORK,Bronx County,012500
79,36005012701,34960.0,339800.0,NEW YORK,Bronx County,012701
80,36005012901,34329.0,384100.0,NEW YORK,Bronx County,012901
81,36005013000,55333.0,555100.0,NEW YORK,Bronx County,013000
82,36005013100,25227.0,598800.0,NEW YORK,Bronx County,013100
83,36005013200,122179.0,552500.0,NEW YORK,Bronx County,013200
